conversation,true_label,pred_label,error_pair
어이. 정성을 다해 모시겠습니다. 사랑합니다 고객님. 무엇을 도와드릴까요? 아니. 시발 니네 회사에서 산 물건이 이게 말이 돼? 사자마자 부숴지잖아. 아. 그러셨군요 고객님. 그러면 어떻게 도와드리면 될까요? 환불을 원하시나요? 지금 장난해? 방법은 니가 찾아와야지 왜 나한테 물어봐? 너 돈 받고 일하는거 아니야? 윗 사람 불러와. 짤리고싶지 아주? 죄송합니다 고객님. 그럼 제가 환불 절차 도와드리겠습니다. 구매하신 카드 번호 알려주시겠습니까? 환불이 문제가 아니라 내가 받은 정신적 피해까지 보상해줘야겠는데? 너네 때문에 내가 얼마나 피해를 봤는지 알아? 죄송합니다 고객님.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
우리 헤어져. 뭐? 왜 갑자기 그런 소리를 해? 너 너무 집착이 심해. 못 견디겠어. 내가 언제 그랬는데? 오히려 믿음 안 준건 너잖아. 그래. 다 내 잘못이니까 헤어지자. 야. 생각을 하고 얘기를 해. 너 나랑 쉽게 헤어질 수 있을 것 같아? 이젠 협박까지 하시겠다? 너 내 핸드폰에 너 관련된 거 엄청 많아. 안 무섭냐? 무슨 얘기 하는 거야. 넌 나랑 헤어지는 순간 인터넷에 다 공개해버릴거라고. 그러니까 나랑 계속 만나는 게 좋을거야?,갈취 대화,협박 대화,Extortion -> Threat
사장님 이 목걸이 얼마인가요? 현금가 기준 200만원입니다. 그래요? 그럼 현금영수증 안 할테니까 180에 해주세요. 네? 현금가에 적용이 되어서 200입니다. 아. 사장님 말이 안 통하시네. 요즘 장사 힘들어요 손님. 진짜 싸게 드리는 거에요. 그래요? 전 상관없고 180에 안 주시면 현금영수증 안 해준다고 신고할거에요. 네? 진짜 어려워요. 도와주세요. 법 대로 장사하셔야 하지 않겠어요? 그니까 좀 더 빼주세요. 알겠습니다.,협박 대화,갈취 대화,Threat -> Extortion
지영씨 혹시 남길씨와 바람났어요? 무슨 소리죠? 아니 제가 남길씨 좋아하는거 알면서 어떻게 그럴 수 있죠? 제 친구가 지영씨와 남길씨가 모텔에서 나온걸 봤다고 들었어요. 저는 그런적 없어요. 여기 보세요. 사진. 제 지인이 찍어서 보내줬어요. 지영씨는 유부녀잖아요. 그래서요? 제 남편한테 이야기하려고요? 남길씨 제 남자에요. 그런데 어떻게 그럴 수 있죠? 당신 남편에게 알려야겠어요. 아니 우리 직장 사람들 다 알아야해. 그 앞에서 만나서 온 거에요. 소문내려면 내봐요. 제 사생활 소문내면 당신 가만 안두겠어요. 꼬리가 길면 밟혀요. 이것말거도 카톡 증거도 있어요. 내가 이럴 줄알고 당신 핸드폰에서 캡쳐했어요. 보세요. 당신 내 사생활 침해야. 가만안둬 그래 가보자. 니 남편 니 직장에 다 소문내고 누가 이기나 보자.,갈취 대화,협박 대화,Extortion -> Threat
정의의 사도 내부 고발자가 된 기분이 어때? . 과장님께는 죄송하지만 제 입장에선 어쩔수 없는 일이었습니다 하이고 잘났네 잘났다 뉘집아들인지 잘났어? 죄송합니다. 과장님께 개인적인 원한은 없습니다 그래그래 이렇게 잘난 아들 두신 부모님 가평에서 국밥집하시던데? 네. 그건 어떻게 아 뭐 일도 아니지 그런거 알아내는건 나도 조만간 국밥집 가서 국밥좀 팔아드리고 부모님 면담좀 해볼까봐 아들 잘 키우셨다고 과장님! 왜? 이제 곧 짤리면 과장이 될지 범죄가 될지 모른는데 내가 지금 무서운 게 있는것같아? 과장님.왜그러십니까.우리부모님은 이일과 아무런 상관이 없습니다,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
오늘 옷차림이 네? 치마가 말야 무슨 말씀이세요? 치마가 너무 길어 제 옷은 제가 알아서 입습니다 아니지.옷차림도 하나의 사회생활이야 치마길이가 사회생활과 관계가 있나요? 있고말고. 치마 길이가 길면 내기 우울해지거든 왜 이러십니까.,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
나는 네가 지난 여름에 한 일을 알고 있다. 거짓말 치지 마세요. 너의 남자친구는 너를 믿은 만큼 친구도 믿었지. 정말 알고 계신건가요? 둘이 연락도 없던 그날에 대해 남자친구에게 메세지를 보낸다면 어떻게 될까? 원하시는게 뭔가요? 이더리움 5개. 시간 끌면 더 올린다. 그걸 어떻게 준비해요 당장 가져와 알겠습니다,협박 대화,갈취 대화,Threat -> Extortion
아이고 최사장님 요즘 일좀 잘 되신다면서요? 아니요 그냥 뭐 이제 좀 직원들 월급좀 주고 합니다. 아니 내가 거기 회사 세울 때 뭐 쫌 도움좀 주고 그런거 같은데 감사 인사가 없는거 같아서. 아. 제가 조만간 자리좀 만들겠습니다. 뭐 조만간 할 꺼 있나 오늘 저녁 어떤가? 오늘 저녁은. 아예 그럼 제가 연락드리겠습니다. 그래 이따가 연락 달라고 여기로 모시겠습니다. 아이고 분위기 좋쿠만 한잔 받으십시요제가 사장님 차에 좀 넣어 놨습니다. 제작은 성의니까 받아 주십시요.,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
야 인재 너 매점가서 핫바 사와 나 돈 없는데 내가 너 따위한테 돈도 줘야되니 아니야 미안해 너 고등학생되더니 머리 좀 굵어졌네 아니야 갑자기 실수로 말이 헛나왔어 그동안 덜 맞았지 니가 잘못했어 당장 뛰어갈게 핫바랑 빵 우유 다 사와라 어 좀만 기다려,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
조용히 이혼하고 이 집만 넘겨. 당신이 무슨 자격으로 ? 무슨 자격이라니? 잊었나본데 당신 범죄자야 내가 무슨 짓을 했다고 범죄자야? 너 저번에 유미 때렸잖아? 당신이랑 바람난 여자.그럼 내가 가만히 둬야해? 유미가 고소 안하겠다는 조건으로 이 집 내가 받기로 했으니까 조용히 넘기고 사라져. 어쩜.바람은 당신이 피고 손해는 내가 봐야 해? 어?. 당신 정말 왜이래. 나 니 돈보고 결혼한거야 너같은 애랑 같이 살아야 할 이유가 돈 말고 또 있었겠어? 빨리 도장찍고 이 집은 나한테 넘겨. 싫어. 싫다고.!,갈취 대화,협박 대화,Extortion -> Threat
보고서 언제까지쓰라고 했지? 이번주 금요일까지 쓰라고 했습니다. 지금 치매초기증상인건가? 예?무슨말씀이신지. 분명히 지난주에 팀장님이 이번주 금요일까지 보고서 가져오라고 하셨는데요. 옥상가서 기합좀 받아봐야 정신차리겠어? 내가언제그렇게 말했지? 죄송합니다.제가 잘못들은게 맞는것같습니다. 이자식이지금 나한테장난치나? 한입가지고두말하나? 정말죄송합니다.제가실언했습니다. 그혓바닥을 뽑아버려야 정신차리고일하겠어? 게으른놈이 어디서 자꾸 말바꾸고 핑계야? 정말죄송합니다.다시는 핑계대지않겠습니다.,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
뒤지고싶지? 시키는대로 안해? 죄송해요. 덜쳐맞았나봐? 내가 사람 여럿 찔러봤다고 말했지. 하겠습니다. 아 말에 토달지 말고 하라고. 참 니 동생 좋은 회사 다니더라? 죄송합니다. 동생이랑 같은 날 제삿날로 만들어줘? 잘하겠습니다. 동생은 건들지 말아주세요. 명령하네? 진짜 뒤지고싶은가보다 아닙니다.죄송합니다.,협박 대화,직장 내 괴롭힘 대화,Threat -> Workplace_Bullying
